Printing BetweenessCentrality
Printing HITS authority + hub
User SLIU = Auth(  0.00007 ) + Hub(  0.00189 ) 
User Fil = Auth(  0.00007 ) + Hub(  0.01317 ) 
User rahzep = Auth(  0.00007 ) + Hub(  0.00760 ) 
User jwtodd = Auth(  0.00007 ) + Hub(  0.00598 ) 
User travail = Auth(  0.00007 ) + Hub(  0.00163 ) 
User jdg = Auth(  0.00007 ) + Hub(  0.00026 ) 
User Wijnand = Auth(  0.00007 ) + Hub(  0.00113 ) 
User damienbrz = Auth(  0.00056 ) + Hub(  0.00001 ) 
User anagri = Auth(  0.00007 ) + Hub(  0.00238 ) 
User termie = Auth(  0.00126 ) + Hub(  0.00398 ) 
User mjijackson = Auth(  0.00007 ) + Hub(  0.02044 ) 
User netshade = Auth(  0.00017 ) + Hub(  0.00010 ) 
User aq1018 = Auth(  0.00007 ) + Hub(  0.00852 ) 
User hellp = Auth(  0.00007 ) + Hub(  0.00133 ) 
User pmangali = Auth(  0.00061 ) + Hub(  0.00000 ) 
User timkay = Auth(  0.00010 ) + Hub(  0.00000 ) 
User courtenay = Auth(  0.00226 ) + Hub(  0.00202 ) 
User Steida = Auth(  0.00056 ) + Hub(  0.00004 ) 
User mozillalabs = Auth(  0.00007 ) + Hub(  0.00000 ) 
User davekempe = Auth(  0.00007 ) + Hub(  0.00001 ) 
User fairchild = Auth(  0.00007 ) + Hub(  0.01497 ) 
User jasonpa = Auth(  0.00007 ) + Hub(  0.01317 ) 
User Yasushi = Auth(  0.00007 ) + Hub(  0.00369 ) 
User Wackybob = Auth(  0.00007 ) + Hub(  0.00719 ) 
User intelliot = Auth(  0.00124 ) + Hub(  0.00032 ) 
User jdp = Auth(  0.00149 ) + Hub(  0.02275 ) 
User jtduncan = Auth(  0.00008 ) + Hub(  0.00000 ) 
User jonforums = Auth(  0.00127 ) + Hub(  0.00000 ) 
User jonathannelson = Auth(  0.00021 ) + Hub(  0.02023 ) 
User bashwork = Auth(  0.00007 ) + Hub(  0.02277 ) 
User notch8 = Auth(  0.00079 ) + Hub(  0.00760 ) 
User aaron-zhang = Auth(  0.00007 ) + Hub(  0.00155 ) 
User ajitdsa = Auth(  0.00007 ) + Hub(  0.00001 ) 
User roblord = Auth(  0.00007 ) + Hub(  0.00020 ) 
User cstar = Auth(  0.00102 ) + Hub(  0.00000 ) 
User eriklarson = Auth(  0.00016 ) + Hub(  0.00012 ) 
